id,feed_id,venue_snt,symbol,bid,bid_qty,bid_snt,ask,ask_qty,ask_snt,xtra_bid,xtra_ask
23146026220,STCH_FA,2022-04-04 09:00:29.997,GBPCHF,"[0:2]={1215630,1215610,1215590}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997""}","[0:2]={1216050,1216080,1216100}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997""}",0fb6830d-480f-4a03-9cf4-f2560c186e2f,86ce1aed-8ec3-4b14-a3dc-c03d541113d8
23146026219,STCH_FA,2022-04-04 09:00:29.997,USDCZK,"[0:2]={23179900,23179900,23179900}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997""}","[0:2]={23217000,23217000,23217000}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997"",""2022-04-04 09:00:29.997""}",df4dd591-b017-485f-9c0b-9b8795b6551e,3dd8d206-9a00-4e46-93fb-590b710bc22d
23146026218,STCH_FA_EFX,2022-04-04 09:00:29.996,GBPCHF,"[0:2]={1215630,1215610,1215590}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996""}","[0:2]={1216050,1216080,1216100}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996""}",6f32fccc-bde1-48c1-87ac-8b1171902c5d,c10f5b19-51f6-4f23-9f20-b4559c3a649c
23146026217,STCH_FA_EFX,2022-04-04 09:00:29.996,USDCZK,"[0:2]={23179900,23179900,23179900}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996""}","[0:2]={23217000,23217000,23217000}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996"",""2022-04-04 09:00:29.996""}",db8826c9-3283-4e29-bf00-250ee6acb3d7,8565947b-4054-45bb-b11c-84007edd74e0
23146026194,STCH_EFX,2022-04-04 09:00:29.99,EURZAR,"[0:2]={16072750,16071549,16069880}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}","[0:2]={16090699,16091899,16093570}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}",c7b6b3e9-063c-46da-b497-704153963c61,630bf6e2-911d-4232-b971-6fbeb22d2f00
23146026193,STCH_FA,2022-04-04 09:00:29.99,EURUSD,"[0:2]={1102040,1102040,1102040}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}","[0:2]={1102160,1102160,1102160}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}",5ca1fdf6-2832-49b0-a7d2-ad824ceee23f,4dfd63bd-d652-495f-9b45-f33155431ec4
23146026192,STCH_FA_EFX,2022-04-04 09:00:29.99,EURUSD,"[0:2]={1102040,1102040,1102040}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}","[0:2]={1102160,1102160,1102160}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99"",""2022-04-04 09:00:29.99""}",cb5b2925-edd5-44a2-916e-463411f904b3,e4c11744-2b79-4cba-9d04-1923f090ffe0
23146026191,HSBC_FA_EFX,2022-04-04 09:00:29.98,GBPCHF,"[0:8]={1215770,1215730,1215710,1215680,1215610,1215390,1215110,1214740,1214130}","[0:8]={750000,750000,500000,2000000,4000000,11000000,19000000,38000000,24000000}","{""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.831"",""2022-04-04 09:00:29.831"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98""}","[0:8]={1215960,1215980,1216010,1216050,1216130,1216350,1216610,1217000,1217600}","[0:8]={250000,500000,750000,2500000,4000000,11000000,19000000,38000000,24000000}","{""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.831"",""2022-04-04 09:00:29.831"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98""}",2319523a-21c2-43cc-ab80-94d5132fb9fd,bb65581c-52b4-4195-ae8b-e31b60a3a94b
23146026185,STCH_EFX,2022-04-04 09:00:29.98,USDCHF,"[0:2]={926720,926510,926290}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98""}","[0:2]={927050,927260,927480}","[0:2]={1000000,3000000,5000000}","{""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98"",""2022-04-04 09:00:29.98""}",ee9a22f0-07dd-4271-ac2d-f49ee1390ebe,6617cdb6-630f-4919-b2de-8fc9ee70bb0d
