id,feed_id,srv_snt,symbol,bid,bid_qty,ask,ask_qty,srv_rcv,client_rcv,client_snt,ext_snt,tradable,value_date,srv_seq
48540241,CORE,2022-04-04 09:00:29.893994,EURJPY,"[0:4]={132999000,132997999,132997000,132989000,131571000}","[0:4]={1000000,2000000,5000000,10000000,15000000}","[0:4]={132999000,132999000,132999000,133428000,134714000}","[0:4]={1000000,2000000,5000000,10000000,15000000}",2022-04-04 09:00:29.893931,2022-04-04 09:00:29.908121,2022-04-04 09:00:29.908227,2022-04-04 09:00:29.407,t,2022-04-06,9796801
48540240,CORE,2022-04-04 09:00:29.893984,XAUUSD,"[0:7]={1930900000,1930900000,1930870000,1930850000,1930740000,1930660000,1930640000,1930620000}","[0:7]={500,1000,2000,3000,5000,10000,15000,20000}","[0:7]={1931550000,1931550000,1931600000,1931670000,1931730000,1931780000,1931790000,1931800000}","[0:7]={500,1000,2000,3000,5000,10000,15000,20000}",2022-04-04 09:00:29.893909,2022-04-04 09:00:29.907983,2022-04-04 09:00:29.908074,2022-04-04 09:00:29.69,t,2022-04-06,9796800
48540239,CORE,2022-04-04 09:00:29.893976,NZDUSD,"[0:4]={706530,706520,706520,703780,695550}","[0:4]={1000000,2000000,5000000,10000000,15000000}","[0:4]={706530,706530,706550,706570,715790}","[0:4]={1000000,2000000,5000000,10000000,15000000}",2022-04-04 09:00:29.89386,2022-04-04 09:00:29.907919,2022-04-04 09:00:29.907979,2022-04-04 09:00:29.816,t,2022-04-06,9796799
48540238,CORE,2022-04-04 09:00:29.893953,USDJPY,"[0:4]={122639000,122637000,122637000,122632000,122617000}","[0:4]={1000000,2000000,5000000,10000000,15000000}","[0:4]={122639000,122640000,122640000,122642000,122656000}","[0:4]={1000000,2000000,5000000,10000000,15000000}",2022-04-04 09:00:29.893854,2022-04-04 09:00:29.907779,2022-04-04 09:00:29.907838,2022-04-04 09:00:29.406,t,2022-04-06,9796798
48540237,CORE,2022-04-04 09:00:29.893705,USDRUB,"[0:2]={83000400,83000400,83000400}","[0:2]={1000000,2000000,5000000}","[0:2]={85003400,85003400,85003400}","[0:2]={1000000,2000000,5000000}",2022-04-04 09:00:29.893656,2022-04-04 09:00:29.907682,2022-04-04 09:00:29.907742,2022-04-04 09:00:29.707,t,2022-04-05,9796797
48540236,CORE,2022-04-04 09:00:29.89355,USDILS,"[0:1]={3210700,3210000}","[0:1]={1000000,2000000}","[0:1]={3216900,3217600}","[0:1]={1000000,2000000}",2022-04-04 09:00:29.893513,2022-04-04 09:00:29.907552,2022-04-04 09:00:29.907614,2022-04-04 09:00:29.466,t,2022-04-06,9796796
48540235,CORE,2022-04-04 09:00:29.89352,EURUSD,"[0:4]={1101920,1101920,1100920,1100920,1099870}","[0:4]={1000000,2000000,5000000,10000000,15000000}","[0:4]={1102300,1102300,1103310,1103310,1105320}","[0:4]={1000000,2000000,5000000,10000000,15000000}",2022-04-04 09:00:29.893462,2022-04-04 09:00:29.907432,2022-04-04 09:00:29.907525,2022-04-04 09:00:29.406,t,2022-04-06,9796795
48540234,CORE,2022-04-04 09:00:29.893484,EURTRY,"[0:1]={6803000,6803000}","[0:1]={1000000,2000000}","[0:1]={6805100,6805100}","[0:1]={1000000,2000000}",2022-04-04 09:00:29.893447,2022-04-04 09:00:29.907355,2022-04-04 09:00:29.907392,2022-04-04 09:00:29.591,t,2022-04-06,9796794
48540233,CORE,2022-04-04 09:00:29.893409,EURGBP,"[0:2]={839940,839940,839940}","[0:2]={1000000,2000000,5000000}","[0:2]={840410,840410,840410}","[0:2]={1000000,2000000,5000000}",2022-04-04 09:00:29.893365,2022-04-04 09:00:29.907285,2022-04-04 09:00:29.907352,2022-04-04 09:00:29.776,t,2022-04-06,9796793
